id,created_at,text,source
668593604538015745,2015-11-23 00:55:11,RT @khalidi4sham1: Strong Message from a leader/Shura member in Ahrar : Sharia will rule Syria no matter how much they plot https://t.co/8o…,Twitter for Android
668592392132534272,2015-11-23 00:50:22,@Mutafaillun jannah bi ithnillah,Twitter for Android
668591041826693120,2015-11-23 00:45:00,Wallahi oh Alaiwte najas kafirah know that your soldiers of Bashar raped our sisters and violated them because they are sunni revenge awaits,Twitter Web Client
668590967306510336,2015-11-23 00:44:43,Bi ithnillahi ta a la just as they violated the women of Ahlus sunnah their Alawite filthy kafir women will be taken captive!,Twitter Web Client
668590552108179460,2015-11-23 00:43:04,"Everytime I meet a Alawite Kafirah its too funny she thinks im ""Secular"" until I say the words ""I am on the side of the mujaheddin""",Twitter Web Client
668590259421224960,2015-11-23 00:41:54,This Rafidah alawite chik wants the Bed https://t.co/tg23AoK9jq LOL I told her first she has to leave Assad and come to Ahlus Sunnah,Twitter Web Client
668590017846124544,2015-11-23 00:40:56,@romyatt Anyway you seem like a decent shia chik come to bed? mutah? LOL,Twitter Web Client
668589874296070144,2015-11-23 00:40:22,@romyatt Yeah come to Somalia and see what Al Shabab do to Assad,Twitter Web Client
668589815403839490,2015-11-23 00:40:08,@romyatt You Shia alawite najas I am half Turkish and Half Arab Assad is a dog,Twitter Web Client
668581233673269251,2015-11-23 00:06:02,@muhammedisra02 English Translation akhi?,Twitter Web Client
668580972250689536,2015-11-23 00:05:00,@Mutafaillun @muhammedisra02 https://t.co/SL2PKpwQtv Look what khawarij have done today,Twitter Web Client
668538014151389184,2015-11-22 21:14:18,@vicenews LOL Islamic State can hurt france and we've just seen that,Twitter Web Client
668489139084468226,2015-11-22 18:00:05,Did you know?718 AD the Ummayid khilafah was invading France and Constant at the same time? https://t.co/mWXS0Qdk4W https://t.co/4BV6zpUcXI,Twitter Web Client
668488100025393156,2015-11-22 17:55:57,@AJStream Yes they are and these attacks will NOT stop until Zionist Jews are expelled from France just as they were in the 15th century,Twitter Web Client
668487824493166592,2015-11-22 17:54:51,@The_Muwahhid Which prostitutes bro? lol,Twitter Web Client
668474979009363968,2015-11-22 17:03:49,RT @HadiAlabdallah: 6 women freed from regime detention after swap between Assad militias &amp; oppos faction Jund al-Aqsa for pro-regime bodie…,Twitter Web Client
668454823067545600,2015-11-22 15:43:43,Did you know? #ParisAttacks #Paris #FranceUnderAttack https://t.co/mWXS0Qdk4W Sultan Abdul Hamid threatened France https://t.co/QYUstOnFnI,Twitter Web Client
