id,created_at,text,source
670005659241455616,2015-11-26 22:26:11,"RT @TRACterrorism: #AlShabaab leadership applauds #Paris #Mali Attacks, condemns coalition airstrikes in #Syria &amp; #Iraq, https://t.co/0VWCk…",Twitter for iPhone
670004437310676992,2015-11-26 22:21:20,"Very much true, my friend.\0x0Ahttps://t.co/bm8fzEzBwO",Twitter for iPhone
670003061499273216,2015-11-26 22:15:52,"Aside from causing extensive damage to shops and other civilian structures, the attack left 8 innocent kids killed.. https://t.co/ooF05ddjh6",Twitter for iPhone
670001142819090432,2015-11-26 22:08:15,"Aftermath footage by Aamaq; the Russian air raids targeted car shops, metalwork stores, civilian houses.. and kids.. https://t.co/kFATC3gDi3",Twitter for iPhone
669997413034278913,2015-11-26 21:53:25,"Searing images of Syrian kids killed in #RussianAirStrikes on #Raqqa city, #IslamicState.. 26th Nov\0x0A#IS #ISIS #Syria https://t.co/byZomSUKuI",Twitter for iPhone
669996256647868416,2015-11-26 21:48:50,"RT @HasanSari7: 💥 Hollande: We shouldn't target 'moderate rebels', our strikes must only focus on Daesh, other terror groups.",Twitter for iPhone
669996225760989186,2015-11-26 21:48:42,"RT @HasanSari7: 💥 Russia's Putin vows to ""unite forces in the fight against a common evil"" as he meets French President in Moscow. https://…",Twitter for iPhone
669993594355367936,2015-11-26 21:38:15,"@Pashabakr1 \0x0AI remember when Sahwat used to mock IS: ""Kurdish women defeated IS cowards""\0x0ANow they're getting their asses beaten up by YPG😂",Twitter for iPhone
669991538202685440,2015-11-26 21:30:05,"@AntiSaloli @sawabcenter \0x0Aفقعوا وجيههم 😂",Twitter for iPhone
669989886192181249,2015-11-26 21:23:31,"lol\0x0ATwitter acc of #US DoS tried to demonize IS, floods of angry Arab tweeps reply: ""shuttup! You're wayyyyyy worse""\0x0Ahttps://t.co/DGMIa8SX04",Twitter for iPhone
669987782773882882,2015-11-26 21:15:09,RT @AbuIsaTweet5: When Mr Kaffir wants to teach you your deen. https://t.co/kMxJqzJveA,Twitter for iPhone
669979859742023680,2015-11-26 20:43:40,"RT @michaelfordsmi1: Dear God Almighty again, poll results are in most people support the Islamic State in the Iraqi Civil war, the people …",Twitter for iPhone
669979298045026304,2015-11-26 20:41:26,"RT @War_Reports: After this guys first poll showed majority support for IS, he makes a new one, which still shows majority IS support https…",Twitter for iPhone
669978399692189696,2015-11-26 20:37:52,RT @michaelfordsmi1: This is how many people here in the West see things thinking that the airstrikes we are doing are not barbaric. https:…,Twitter for iPhone
669976703532441600,2015-11-26 20:31:08,"#prt\0x0AAlShabab praises #ParisAttacks\0x0A""while Kuffr states send their condolences to France, we congratulate our Ummah"" https://t.co/IR2gmqVW0v",Twitter for iPhone
669970799785353216,2015-11-26 20:07:40,"#prt\0x0Awe've been warning Nusra\0x0ANow they're playing *teammates* but will turn on them at any moment!\0x0AJN should re-join IS before it's too late",Twitter for iPhone
669970462097715200,2015-11-26 20:06:20,"RT @nicolaitrock: ""My take is that the Nusra Front is a wolf in sheep’s clothing"" - read the clever analysis by @Charles_Lister \0x0A\0x0Ahttps://t…",Twitter for iPhone
669969081378959362,2015-11-26 20:00:51,"@HK2307 @Charles_Lister \0x0A😁\0x0AAyatollah Putin al-Moscowi https://t.co/ji6mtAwgqf",Twitter for iPhone
669966907102113792,2015-11-26 19:52:12,"RT @HasanSari7: 💢 Poll by @Syrianfalcon11 :\0x0AWho Do U Think Is Capable Of Building Modern #Syria :\0x0A-FSA 21%\0x0A-JAN+Ahrar 18%\0x0A-Jaish Al-ISLAM 8…",Twitter for iPhone
669966897774010368,2015-11-26 19:52:10,"RT @Conflicts: BREAKING: Tensions high in #Sinjar after liberation from #ISIS. Yezidi fighters clash with #Peshmerga - @EzidiPress \0x0Ahttps:/…",Twitter for iPhone
669963646852812800,2015-11-26 19:39:15,"@jesuisbrave19\0x0Abetter than @Syrianfalcon11 who used *Daesh dogs* instead of #IS, but ppl still preferred the dogs over his #FSA thugs lol",Twitter for iPhone
669962466256908288,2015-11-26 19:34:33,"#PRTs\0x0AHe made a poll, #IS was the winner.\0x0AMade another poll, #IS won again.\0x0ANow he's done with polls loooool",Twitter for iPhone
669962104510746624,2015-11-26 19:33:07,RT @VivaRevolt: Which Side do you support in the Syrian Civil war,Twitter for iPhone
669962045702426624,2015-11-26 19:32:53,RT @VivaRevolt: Which side do you support in the Syrian War ?,Twitter for iPhone
669960727243935744,2015-11-26 19:27:39,"The water plant that was entirely destroyed by #US-led coalition airstrikes in Albuamru village #DeirEzzor 17/11/015\0x0Ahttps://t.co/n7A8QvBrZt",Twitter for iPhone
