id,created_at,text,source
543087980337172480,2014-12-11 17:00:39,"RT @zuhair47: #Iraq's Sadr readies militia to fight for #Samarra 
http://t.co/UerTXfVsbm",Mobile Web (M2)
543087377368252416,2014-12-11 16:58:15,"RT @zuhair47: #ISIS on advance  in different areas of #Baiji, and have taken several towns
http://t.co/RMWsd2N4oD? #Iraq",Mobile Web (M2)
543034945224970240,2014-12-11 13:29:54,@switch_d forums still exist?,Mobile Web (M2)
542994653457702912,2014-12-11 10:49:48,RT @ThisIsGaZa: Of course israel is going to lie about murdering Ziad Abu Eid...Bastards murdered 2200 and claimed hamas killed them http:/…,Mobile Web (M2)
542994541922758656,2014-12-11 10:49:21,"RT @JavierBlas2: Cheap #oil in Canada! Heavy West Canadian Select, a benchmark for the country's tar sands industry, drops to $40 http://t.…",Mobile Web (M2)
542994426231267328,2014-12-11 10:48:54,@yaazeedm source?,Mobile Web (M2)
542973055459672064,2014-12-11 09:23:59,"@charliewinter not by any IS source of any relevance,and definitely not official IS media @kxqzxl @mujahidmusa123 @sunnahkitab1",Mobile Web (M2)
542972761258618880,2014-12-11 09:22:48,RT @EjmAlrai: #IS advanced in Mo'tasem and Yathreb and closing up on #Samarra despite airstrikes and ISF/Militia gathering in the #Samarra.…,Mobile Web (M2)
542972518320332800,2014-12-11 09:21:50,"RT @EjmAlrai: Moqtada al-Sadr announces to his followers to be ready 2respond to ""Jihad"" to defend #Samarra as #IS is advancing toward insi…",Mobile Web (M2)
542972444005642240,2014-12-11 09:21:33,"RT @EjmAlrai: “We do not see a situation in which rebels r able 2remove #Assad from power,” said  @brett_mcgurk  “It will have 2be a diplom…",Mobile Web (M2)
542964749462700032,2014-12-11 08:50:58,"An aircraft shot down over Kubaisa,south of Hit. #Anbar #Iraq",Mobile Web (M2)
542963601817214976,2014-12-11 08:46:25,"What the Iraqi Rafidah don't realize ,the Iranians can't defend them. Enjoy the ""Suleimani streak"" for now,the storm has yet to begun",Mobile Web (M2)
542945674523078656,2014-12-11 07:35:10,"RT @Lyobserver: The 136 infantry battalion in Sirte, known as al-Jalat brigade, hands over weaponry to Libya Dawn Operation, reports say.",Mobile Web (M2)
542938704210571264,2014-12-11 07:07:29,#PT Rafidah in Nubool and Zahra I mean,Mobile Web (M2)
542938089967333376,2014-12-11 07:05:02,"JaN traitors failed miserably to fight the Rafidah,so now they boasting about attacks on Sunnis ,i.e the Islamic State,in Aleppo province",Mobile Web (M2)
542923872941907969,2014-12-11 06:08:33,RT @ReutersWorld: Al Qaeda in Yemen blames U.S. for death of hostages in raid http://t.co/8xGOOs3AgL,Mobile Web (M2)
542918587191922689,2014-12-11 05:47:32,"@moabs1982 hey genius,I am using exact same terminology used by JaN officially.",Mobile Web (M2)
542916722496643072,2014-12-11 05:40:08,"@mhasakah @syrcu cc @hxhassan Hey Hassan,you heard there are Syrians in Hasaka too?",Mobile Web (M2)
542916254567522304,2014-12-11 05:38:16,"RT @ArifCRafiq: ""...others sodomized a detainee with a phosphoric light."" http://t.co/KXs7mKhPCQ",Mobile Web (M2)
542916132467146752,2014-12-11 05:37:47,"RT @ArifCRafiq: ""Some said they were pressed to denounce Islam or were force-fed pork and liquor.""
http://t.co/6JHVmbKS6A",Mobile Web (M2)
542916053035401216,2014-12-11 05:37:28,RT @Mediaite: New Yorker's Atul Gawande Condemns CIA Doctors Who 'Made Torture Possible' http://t.co/e7rIAWZenz http://t.co/4ragK39zyr,Mobile Web (M2)
542915846096814080,2014-12-11 05:36:39,"RT @JC_Christian: It's called ""rape"" rt @ArifCRafiq ""...an Army translator having sex with a boy at the prison... http://t.co/dFyjUr5voG …",Mobile Web (M2)
542915741503471616,2014-12-11 05:36:14,RT @ArifCRafiq: Alleged rapist of Iraq boy at Abu Ghraib never seriously investigated. Returned to suburban Maryland. http://t.co/rqvCjUzOHv,Mobile Web (M2)
542915702525800448,2014-12-11 05:36:05,RT @ArifCRafiq: Remember the Abu Ghraib Torture Pictures? There are More That Obama Doesn’t Want You to See (Newsweek) http://t.co/htkTGd11…,Mobile Web (M2)
542915153009070081,2014-12-11 05:33:54,RT @AFP: Chinese police seek more than 100 Vietnamese brides who vanished after marrying bachelors in poor Hebei farm region http://t.co/0E…,Mobile Web (M2)
542915023887409152,2014-12-11 05:33:23,"@moabs1982 I am pretty sure calling IS as ""dogs , khawarij"" is much worse.",Mobile Web (M2)
542914225283166208,2014-12-11 05:30:12,"RT @ArifCRafiq: ""At least one picture shows an American soldier apparently raping a female prisoner...."" http://t.co/ZqUUK8IJE5",Mobile Web (M2)
542906460607614976,2014-12-11 04:59:21,For everyone who wants reconciliation with Jabhat al ghadr wal khiyana https://t.co/nzmG9YGXZk,Mobile Web (M2)
542906115202490368,2014-12-11 04:57:59,"RT @arisroussinos: @IbnNabih They wanted us to GoPro a VBIED on IS (politely demurred :/) They're fighting as hard as they can tbh, but pri…",Mobile Web (M2)
542906006691647488,2014-12-11 04:57:33,RT @arisroussinos: @IbnNabih JN's Halab Media Ops guy was pretty firmly convinced IS all needed to be wiped out root and branch @Truth_ISIS,Mobile Web (M2)
542904716989304832,2014-12-11 04:52:25,"#PT The US regime has official policy(now
exposed),to try to destroy Muslim captives' faith,and
you dare to say this is not war on Islam?",Mobile Web (M2)
542904454857887744,2014-12-11 04:51:23,RT @BobbyHi91486083: @ShamiWitness I would take that statement one step further. Its a war against Allah (SWT). They are defying Him in the…,Mobile Web (M2)
542903061497532416,2014-12-11 04:45:51,"""The goal was to create a burden so great that a person’s religious faith[target is Islam in all cases] would be destroyed."" (3)",Mobile Web (M2)
542902458465677312,2014-12-11 04:43:27,"""an actual “policy” – not a result of agents gone rogue."" (2)",Mobile Web (M2)
542902259118792704,2014-12-11 04:42:39,"""But what Hayden’s[ex-CIA chief] comments do show is that using religion as a weapon in prolonged psychological warfare was "" (1)",Mobile Web (M2)
542901513937776640,2014-12-11 04:39:42,"#PT Worth a read ,quotes follow in next tweets https://t.co/rbzxwYKJmG",Mobile Web (M2)
542892924087058432,2014-12-11 04:05:34,"#PT Stop pretending it is not a war on Islam,when you force Muslim detainees to prostrate towards idol shrines.",Mobile Web (M2)
542892292852686848,2014-12-11 04:03:03,"#TortureReport If this doesn't count as blatant war on Islam,war on our faith,then nothing else does http://t.co/RNf9Jd5isM",Mobile Web (M2)
542885961819230208,2014-12-11 03:37:54,@himalaya888 These ignorant morons.I have denied this claim countless times.,Mobile Web (M2)
542814847218360320,2014-12-10 22:55:19,RT @USNATO: Dutch fighters intercept Russian planes over the Baltic Sea on Dec 8--check out the footage: http://t.co/uyEtVU6dVc http://t.co…,Twitter Web Client
542814625058672641,2014-12-10 22:54:26,https://t.co/Bverqs7Vd6,Twitter Web Client
542814555848462336,2014-12-10 22:54:09,https://t.co/6jUG018dKO,Twitter Web Client
542813993186779138,2014-12-10 22:51:55,"RT @IraqiSMCEn: Anbar:
Elements of government's forces were  killed and wounded as 9 caravans destroyed in car bomb explosion... http://t.c…",Twitter Web Client
542813968809488385,2014-12-10 22:51:49,"RT @IraqiSMCEn: Salah-il-deen:
Agencies/ security source: Two car bombs  driven by insurgents were  exploded ; the first targeted... http:/…",Twitter Web Client
542813906083672065,2014-12-10 22:51:34,"RT @IraqiSMCEn: Salah-il-deen:
27 elements of militia swarms were  killed and wounded -at the initial outcome - as a tanker bomb... http://…",Twitter Web Client
542813882838822912,2014-12-10 22:51:29,"RT @IraqiSMCEn: A Staff General  -Aboud Qanbar- after his fleeing to Egypt :
Qasim Suleimani is the actual minister of defence... http://t.…",Twitter Web Client
542813804313079809,2014-12-10 22:51:10,"RT @IraqiSMCEn: Salah-il-deen:
Militia swarms and government's army have withdrawn to Abasiya nahiya due to the controlling of... http://t.…",Twitter Web Client
542813754409242624,2014-12-10 22:50:58,"RT @IraqiSMCEn: Anbar:
The war planes have targeted civilians in Fallujah...... 
.

https://t.co/lCXOIRFgJn http://t.co/gbGhOUi4eH",Twitter Web Client
542813438062235648,2014-12-10 22:49:43,"RT @IraqiSMCEn: Anbar:
News reported that two helicopters of coalition forces have targeted by anti-aircraft weapons in Hameera and Sajariy…",Twitter Web Client
542813409494843392,2014-12-10 22:49:36,"RT @IraqiSMCEn: Diyala:
Buhriz police station-south of Ba'aquba- has been stormed and exploded  ,elements killed and weapons siezed ......",Twitter Web Client
542813384211582977,2014-12-10 22:49:30,"RT @IraqiSMCEn: Salah-il-deen:
15 elements of Asaib militia have been killed and others wounded in an attack on their convoy at Isahaqi roa…",Twitter Web Client
542813358412414976,2014-12-10 22:49:24,RT @IraqiSMCEn: A clip shows unmanned plane as it was shot down today ;news reported that unmanned palne shot down in Daqooq in... http://t…,Twitter Web Client
542793829636526080,2014-12-10 21:31:48,"#PT These things are not disconnected,calls for more wars on Muslims,&amp; defending torture on Muslims,always spring from same minds",Twitter Web Client
542793213279346688,2014-12-10 21:29:21,"This from Max Boot makes sense, given he is the same guy who also calls for larger-scale US re-invasion of Iraq http://t.co/p4sjf1Ogez",Twitter Web Client
542791575802105856,2014-12-10 21:22:50,http://t.co/07V7sAFlcW cc @Sunnahkitab1 @Muftimilk @kxqzxl @Marwan_is_back,Twitter Web Client
