id,created_at,text,source
667084811043889152,2015-11-18 20:59:47,Zahran Alloush reaching out to the Assad regime makes perfect sense as Assad freed him from Jail when the revolution was at its strongest.,Twitter Web Client
667082366645481473,2015-11-18 20:50:04,Anti-Assad leader Zahran Alloush is now callin for a ceasefire with the brutal Assad regime after thousands have been killed by Assad forces,Twitter Web Client
667079527533690880,2015-11-18 20:38:47,Shiite/Saudi bastard HUSSEIN Obama are u happy now that Syrian and Iraqi civilians have a shortage of oil to use for the cold? #PrayForRaqqa,Twitter Web Client
667078044301979648,2015-11-18 20:32:54,"Will the heartless butcher Putin after finally confirming that IS did down the Russian plane end his ""crusade"" against Syrian civilians?",Twitter Web Client
667077128869965825,2015-11-18 20:29:15,"HUSSEIN Obama you Shiite/Saudi bastard end our involvement in this foolish unwinnable war, bring our boys home! https://t.co/hwADfJPQgf",Twitter Web Client
667076351631847424,2015-11-18 20:26:10,@Lateef_Al_Diri No not the Joker just some loser lowlife whos scared of his own shadow reports are saying his shitting himself from cop raid,Twitter Web Client
667075819747979264,2015-11-18 20:24:03,"Some good news from Canada police have arrested the coward scum who threaten to ""kill one Arab a week.""  https://t.co/SeMH2GWgU7",Twitter Web Client
667074418691051520,2015-11-18 20:18:29,"From the latest airstrikes we (USA) have killed people trying to earn a normal living by driving delivery and oil trucks. ""good job"" Obama!",Twitter Web Client
666932235044528128,2015-11-18 10:53:30,That's 100% right yet bloodthirsty mindless fools like Mr Hollande just don't get it or care! https://t.co/Q5HeOrPuTT,Twitter Web Client
666899663065223169,2015-11-18 08:44:04,"@michaelfordsmi1 The issues are our bombings, our support for tyrants, our support for Israel and shoving our values down their throats. [3]",Twitter Web Client
666899358416146433,2015-11-18 08:42:52,"@michaelfordsmi1 I asked them is it because of our freedoms or that we are non-Muslims, the answer was NO they couldn't care less what we do",Twitter Web Client
666894254048854016,2015-11-18 08:22:35,"During my time in Jordan I spoke with captured Islamists and so-called terrorists, I asked them why do they hate us so much? [1]",Twitter Web Client
666893145083285504,2015-11-18 08:18:10,"@dingalingy55 Its not that easy their are many groups, many backers to different sides its a hard situation which involved both Iraq &amp; Syria",Twitter Web Client
666892120544772096,2015-11-18 08:14:06,"@dingalingy55 When I get more info I will post it, yes its very cut off.",Twitter Web Client
666891840671449088,2015-11-18 08:12:59,Syrian civilians have been bombed for 5 years by the brutal Assad regime thousands killed yet still no Western airstrikes on his forces!,Twitter Web Client
666890718066020352,2015-11-18 08:08:32,"The hard truth is there's no easy military answer to war on IS both Iraq and Syria are in civil wars between Arabs, Kurds, Shiites &amp; Sunnis.",Twitter Web Client
666889465395187712,2015-11-18 08:03:33,@dingalingy55 I'm sorry but I can't give out that info.,Twitter Web Client
666889264722898944,2015-11-18 08:02:45,@dingalingy55 Not at the time i'm still waiting for the numbers.,Twitter Web Client
666889041720115200,2015-11-18 08:01:52,If only Mr Hollande had saved Syrian civilian lives by bombing Assad forces and supported the Syrian rebels who wanted freedom from tyranny.,Twitter Web Client
666886333135122432,2015-11-18 07:51:06,"@dingalingy55 No I find their ""reports"" and ""info"" bullshit they have an agenda which means their biased to the truth @Raqqa_SL",Twitter Web Client
666882962823118848,2015-11-18 07:37:43,"Mr Hollande your planes have been bombing hospitals, wheat plantations, water distributing stations and power stations is France safe now?",Twitter Web Client
