id,created_at,text
605250388279861248,2015-06-01 05:51:52,"Oh how cute, why don't you do blood for the next event to support Syrian children slaughtered by your government! https://t.co/jwGRGEyOaX"
605250088370376704,2015-06-01 05:50:40,"RT @_LikeBaklava99: Assalamu Alaikum wa Rahmatullahi wa Barakatuhu.
For Allah's sake make dua for my family member.It's last time I ask u.
…"
605248676865417216,2015-06-01 05:45:04,"""Say, ""Indeed, my prayer, my rites of sacrifice, my living and my dying are for Allah , Lord of the worlds"" 
{Qu'ran Surah Al-An'am Aya 162}"
605245064613376000,2015-06-01 05:30:42,#RealityCheck salah over sleep! http://t.co/lluC4lTLcq
605243725913178112,2015-06-01 05:25:23,"RT @ulumAlnikah: Fear Allah alone as He should be feared!!
Never be apologetic towards the precious deen Allah has favoured you with!! http…"
605228291092541440,2015-06-01 04:24:03,What has democracy ever done for Muslims besides promoting it's agenda in Muslim lands &amp; bombing Muslims as an excuse to combat terrorism?
605207233471856640,2015-06-01 03:00:23,"""A believer is like a brick for another believer, one supporting the other""

~Muhammad ﷺ"
605180090406871040,2015-06-01 01:12:31,"West: we are combating terrorism, goes and bombs! #Cowards http://t.co/y3WhizL0UQ"
605169766656032768,2015-06-01 00:31:30,"As a Muslim you are responsible for searching for haqq, &amp; that does not mean following scholars blindly!"
605094392865660929,2015-05-31 19:32:00,"""Have taqwa of Allah and take it easy in Duniya""

~Muhammad ﷺ"
605064452908699648,2015-05-31 17:33:01,"If you want to deal/fight with evil you don't have to go far, it's in your backyard! #USdrones http://t.co/OuDv0Dhaf6"
605057088625197057,2015-05-31 17:03:46,"Muslim chaplain claims discrimination on United flight  http://t.co/QMWVs6Cntq

kuffar dont care so save ur tears, at least ur not bombed at"
605042884010745856,2015-05-31 16:07:19,"""Go forth, whether light or heavy, &amp; strive with ur wealth &amp; ur lives in the cause of Allah . That is better for you, if you only knew"" 9:41"
604881282787516416,2015-05-31 05:25:10,"""Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe."" [Qu'ran 2:6]"
604865591913103361,2015-05-31 04:22:49,"Guys report this filth 👉@rogue__allah 
May Allah reward you for your efforts!"
604839804526850048,2015-05-31 02:40:21,I want to enter jannah before my future zowj not bc I dont want jannah for him but I want to love Allah azza wajal &amp; his messenger sws more.
604785339681656834,2015-05-30 23:03:56,"Ibn al Qayyim said: 

""The one who remains silent in the face of falsehood is a tongueless devil.” 
[Ad-Da`u wad-Dawaa’] #Mutescholars"
604774083222507521,2015-05-30 22:19:12,"Experts are tracking more than 100 women who have left the West to join ISIS: http://t.co/gusxgwDYd1

&amp; they say the #IS are raping women😏"
604767295852974080,2015-05-30 21:52:14,"The amount of attention some brothers &amp; sisters are paying to #arsneal is beyond me, perhaps you should direct your attention to your deen!"
604766309029683200,2015-05-30 21:48:18,This 17 yr old sister accepted Islam at the Abubakar Islamic center of Washington on jummah! #AllahuAkbar http://t.co/RgruWbZUYI
604763640558972929,2015-05-30 21:37:42,There is a difference between a believer and a true believer!
604761566723080192,2015-05-30 21:29:28,"Controversial preacher Abu Haleema banned from social media: http://t.co/vjLnjB1Gr3

It's only controversial when it's a Muslim preacher smh"
604750117380464640,2015-05-30 20:43:58,Killed it LOL 😂😂😂😂 @ uncircumcised old khanzir http://t.co/BabXvuJYpM
604734545548713985,2015-05-30 19:42:05,"What can you do with me, My junnah is in my heart""
-Anwar Al Awlaki (RH) http://t.co/muFWcoWFuu"
604727166459355136,2015-05-30 19:12:46,"RT @FollowTheHaqq15: Follow And Support
Hallie Sheikh
@Islam_Will_Rule 
@Islam_Will_Rule @@@@@"
604716108365594624,2015-05-30 18:28:49,O' daughter of Islam become modest!
604713259657228288,2015-05-30 18:17:30,"""One of the worst sins is a person who takes his sins lightly.""

[Abu Bakr Al Siddiq]"
604711967027273728,2015-05-30 18:12:22,@Angelina_Soma lol #TheStruggleIsReal 😭
604709120214757376,2015-05-30 18:01:03,@Angelina_Soma 😂😂😂😂😂 I died can't have both ukhti
604703659189014528,2015-05-30 17:39:21,My ancestors are Khadijah and Aisha why would I want to imitate Kim kardashian and her likes! I am a muslimah a salilaah not a kafirah!
604664605495988224,2015-05-30 15:04:10,"NSA Planned to Hijack Google App Store to Hack Smartphones &amp; infect with spyware http://t.co/ryDQ0rMKsA 

Talk abt privacy #democracyfailed"
604511734502707200,2015-05-30 04:56:43,"Man I love Arabic I can study it forever, amazing language 😍😍"
604500572637667330,2015-05-30 04:12:22,Palymyra residents appear to welcome the Islamic State as they chant in street http://t.co/Ck65pXRueC
604488282873966592,2015-05-30 03:23:32,"RT @R100Gx: #NotMyAmerica 

America has been bombing Muslims for years under the lie of fighting terrorism.

Are these terrorist? http://t.…"
604466707881697280,2015-05-30 01:57:48,"Cowards gather for anti-Islam demonstration outside Phoenix mosque http://t.co/LmmlkXedNs

Kuffar always pushing Muslims to retaliate smh"
604440921602727937,2015-05-30 00:15:20,Gym time 💪💪
604375528921931776,2015-05-29 19:55:29,"Police video shows 'horrifying' arrest of pregnant woman http://t.co/Xpgjhq0xsR

How can this happen in the US, the most civilized country?"
604370929343447041,2015-05-29 19:37:12,"""How often has a small party defeated a large one by Allah's permission, and Allah is with the patient."" {2:249}

#Iraq  #Syria"
604370220166311937,2015-05-29 19:34:23,"""Indeed, Allah will not change the condition of a people until they change what is in themselves.” [13:11] 
#Palestinians"
604369839021506561,2015-05-29 19:32:52,"""Do the people think that they will be left to say, ""We believe"" and they will not be tried?"" [Qur'an 29:02]"
604367843262599169,2015-05-29 19:24:57,"""Do they seek honor, power &amp; glory with them (the disbelievers)? Verily Allah belongs to all honor, power &amp; glory""  [Qu'ran An-Nisa, 139]"
604344066109628416,2015-05-29 17:50:28,Dua's for our muslimins guys!  https://t.co/F6DIXqrnqK
604175793418280961,2015-05-29 06:41:48,"Asalamu Alaikum, please brothers &amp; sisters block and report this parody account of me 👉 @halliesheikh rt as well.

Jazakallah Khyr"
604171652176429056,2015-05-29 06:25:21,This is what radicalizes Muslims not Muslim radicals! your heroes are our terrorist! #iraq #muslimlivesmatter http://t.co/FIA1a0p4aw
604167609307774976,2015-05-29 06:09:17,RT @truthHURTStough: @Islam_Will_Rule http://t.co/K28rlani6B
604156639021809664,2015-05-29 05:25:42,"Huge majority SUPPORT Islamic State in Arab world, shock poll finds http://t.co/FF6H5YPjH4

This is t shocking at all, Muslims are fed up!"
604155233783173121,2015-05-29 05:20:07,"""Originator of the heavens and the earth. When He decrees a matter, He only says to it, ""Be,"" and it is.""
{Qu'ran Surah Baqarah, Aya 117}"
604143569381777408,2015-05-29 04:33:46,"Why is the IS winning, &amp; how its foes can reverse that success http://t.co/PhwEcgswmM

Good ? considering the entire world is fighting them."
