id,created_at,text
503577940270252032,2014-08-24 16:21:51,"Picture of Tabqa airbase near Raqqa, #Syria, after it was conquered by #Islamic_State forces (#IS #Khilafah #Jihad): http://t.co/4aUzKvXhf4"
503577867696214016,2014-08-24 16:21:34,"Picture of Tabqa airbase near Raqqa, #Syria, after it was conquered by #Islamic_State forces (#IS #Khilafah #Jihad): http://t.co/RWyhPXMOHv"
503577804056051713,2014-08-24 16:21:19,"Picture of Tabqa airbase near Raqqa, #Syria, after it was conquered by #Islamic_State forces (#IS #Khilafah #Jihad): http://t.co/PfD4vwQWMp"
503577177255059457,2014-08-24 16:18:49,RT @darul_ilm: Do people not take lesson from the Qur'aan? Has Allaah not mentioned enough characteristics of the munaafiqeen? #Ponder #IS …
503576633618755584,2014-08-24 16:16:40,"@Ahmed__Hussain_ Nah, they should release a video showing them doing football skills with Nusayri heads"
503573563186876416,2014-08-24 16:04:28,"RT @iStriv3r: A message from Pakistani Taliban to #IslamicState , about the prisoner deal. http://t.co/8BrkJfOT7R"
503572336126468096,2014-08-24 15:59:35,"The Peshmerga capture Arab civilians with beards in Sulaymaniyah, #Iraq and pass them off as #IslamicState fighters: http://t.co/1rCMBhbPPL"
503323806296195072,2014-08-23 23:32:01,"RT @Dabiq_NS: @AbuUmarAlAnsari support my account brother, has been suspended."
503323183500763136,2014-08-23 23:29:32,@AbuUmarAlAnsari @.stranger92_ http://t.co/87vRygtZ6M
503322290684432385,2014-08-23 23:26:00,I have a page on VKontakt (http://t.co/4ByQG8qWld) at: http://t.co/lFPi1hvAVk. Most official #IslamicState (#IS) accounts are now on it.
503305585321066496,2014-08-23 22:19:37,"@AbuUmarAlAnsari @.ZaramBukhari Khawarij is plural, not singular. learn before you speak you paindu haramzada"
503299569560879104,2014-08-23 21:55:42,More pictures of the #Kirkuk bombings which killed communist Peshmerga apostates (#Iraq #IS #IslamicState #Khilafah): http://t.co/v0AxzAE3pA
503298169015648256,2014-08-23 21:50:09,RT @Abu_Baraa1: in Iraq there are only to factions - allies of the #Islamic_State and allies of #USA - be careful which camp you belong to
503296741744312321,2014-08-23 21:44:28,RT @OmarAlkhorasani: statement regarding Quetta Air Base Attack. http://t.co/A6DZQ9gmu0
503294096371236864,2014-08-23 21:33:57,Here is some compromising data cameras collect which you should remove before posting online: http://t.co/CESMhhL4fG http://t.co/otmz0RoDPB
503293118649622528,2014-08-23 21:30:04,2. People posting original video who are worried about being tracked should remove metadata from their video. See how http://t.co/pGB5U0lj20
503292672929300480,2014-08-23 21:28:18,1. People posting original photos who are worried about being tracked should remove metadata from their pics. See how http://t.co/CESMhhL4fG
503290123535269889,2014-08-23 21:18:10,"@abduallahiB @ShamiWitness @ghazishami @Alansarialjanab @RadioRome Look, lol: https://t.co/IfPokKI5MN"
503289742222716928,2014-08-23 21:16:39,@abduallahiB @ShamiWitness @ghazishami @Alansarialjanab @RadioRome He also found out where the Mosul training camp was!
503288274975084544,2014-08-23 21:10:50,Maybe Dawlah should greater care to disguise their location where they shoot videos? lol https://t.co/9zTwsLPzEG
503279662735572993,2014-08-23 20:36:36,"RT @Yemen411: #AQAP killed the Commanding Officer of the 3rd Regional Army Materiel Command (acquisition, logistics) by planting an IED in …"
503278526087561217,2014-08-23 20:32:05,RT @Abu_Ubaidah_: @AbuUmarAlAnsari Before all of that. You have to deal with spies. Spies are very dangerous. Kill off intel &amp; kuffs won't …
503276971682725888,2014-08-23 20:25:55,@Abu_Ubaidah_ Or fighters camoflaged in the desert and using NVG and thermal imagers to monitor. Then contact base when hostiles spotted
503276002731360256,2014-08-23 20:22:04,"@unseenocean Yeah, or occasional use, not regular use. Radars are first things taken out during SEAD operations with: http://t.co/MV7OfjpKJz"
503274985348431872,2014-08-23 20:18:01,@unseenocean Radars are good but cannot only rely on them as US has missiles which track and destroy radars based on electronic emmissions
503274174488780800,2014-08-23 20:14:48,Obamas war makes it very likely that a disgruntled person will buy guns and do a James Holmes in retaliation for US military action in #Iraq
503273259132260352,2014-08-23 20:11:10,@unseenocean But Dawlah have some radars which were taken with the booty from northern Iraq. Will get more from Tabqa airbase
503273005343330304,2014-08-23 20:10:09,"@unseenocean In certain operations, yes. Not infiltration ones. They only enter by helo upto a certain point, then go on foot to infiltrate"
503272029609820160,2014-08-23 20:06:16,RT @Abulooz22: I seriously don't know whats up this praying. Peshmerga imam. http://t.co/qp92JdvqGs
503271159438536704,2014-08-23 20:02:49,The fact that UK/US special forces show intent to do operations in the #IslamicState will act as impetus for #IS to do same in their lands
503270031615332352,2014-08-23 19:58:20,"Most special forces infiltration operations are conducted in the night, where you cannot see enemy soldiers even with spotlights."
503269325940477952,2014-08-23 19:55:32,The #Islamic_State soldiers need thermal imaging to detect special forces troops from UK/US as they approach certain camps/installations
503268740159791104,2014-08-23 19:53:12,"It makes sense for #IslamicState to buy night-vision equipment, including thermal imaging to detect SAS in the desert http://t.co/eBKJsk4egp"
503262353274974208,2014-08-23 19:27:49,"RT @ShamiWitness: #PT In the 1st overt,direct confrontation between Iranian soldiers and the soldiers of the Islamic State,the Iranians fai…"
503262318839742464,2014-08-23 19:27:41,"RT @ShamiWitness: ""Iranian forces retreated back across the border early on Saturday after a failed attempt to retake the town."" http://t.c…"
503261792303579136,2014-08-23 19:25:36,The #Islamic_State are officially at war with Safavid Iran.
503261663328747521,2014-08-23 19:25:05,RT @ShamiWitness: Iranian troops openly back Peshmerga in joint attack against the Islamic State https://t.co/I9H73qSBsJ #Iraq
503260765051445248,2014-08-23 19:21:31,"RT @abudujana47: SA in Tabqa have had info hidden frm thm. They didnt knw we took Div.17, Brigade 93 &amp; a Base in Hassakah. Now theyre absol…"
