id,created_at,text
581593322986291200,2015-03-27 23:07:08,I am in the car with my 18 year nephew he had the audacity to play Yasir Qadhi 😱😱😱😱😱😱 I am so disowning him
581586464380723200,2015-03-27 22:39:53,"RT @_TawheedNetwork: The Messenger Muhammad (saw) said: ""The dunya is a prison for the believer and prison for the disbelievers."""
581553315869261824,2015-03-27 20:28:09,Wallahi I have never been more proud to be categorized extremist or radical muslim by coconut Muslims! #Gladtidings2TheStrangers
581500943734190080,2015-03-27 17:00:03,Everyone who I was following @ me so I can follow &amp; give a shout out! Sorry if I don't do it ASAP as I am traveling!
581500009960628224,2015-03-27 16:56:20,Allah subhanahu wa ta'ala has promised the believers jennah in akhirah &amp; victory on this Duniya! So sufficient is his promise!
581475030921388032,2015-03-27 15:17:05,Twitter is back at it once again suspending those who don't support their propaganda against Islam! Your silly attempts won't stop us! #fail
581473343993348096,2015-03-27 15:10:23,RT @_TawheedNetwork: If you love Allah then follow the guidance of the Prophet not man made deviation.
581466510234775554,2015-03-27 14:43:13,"Bowe Bergdahl: I was tortured, shackled, &amp; caged in Taliban captivity: http://t.co/kKG9eedGe8 http://t.co/YArTXlSchr”

Write a book about it"
581447761502978048,2015-03-27 13:28:43,@TheKW1 lol how are you going to mention me out of no where and than talk about don't mention you! Delusional child! Seek help
581247786777096192,2015-03-27 00:14:06,"Democracy has failed society over &amp; over again &amp; you wonder why we oppose it, it's time for shariah to be restored the divine law of Allah☝️"
581155765911732225,2015-03-26 18:08:26,"FBI engaged Edmonds on Facebook, offered him assistance to travel and fight for #ISIS http://t.co/qRLHCekm22 http://t.co/bI1IrSCdtt"
581067054800904193,2015-03-26 12:15:56,Identify only with Islam!
580984947776753664,2015-03-26 06:49:40,If you keep rt'ing that Jennifer kafirah on my TL &amp; calling her sister I will personally block you! Better idea just unfollow!
580976555167473665,2015-03-26 06:16:19,"I simply can't understand why my followers endorse this kafirah! Stop supporting her &amp; following her! Block khalas
https://t.co/VAdVh9xKnk"
580973179365097472,2015-03-26 06:02:54,"Allah is destroying the enemies of the khilafah against each other, Turkish military vs PKK, Saudi against houthi Shiites!

Alhamdullilah"
580930777464107008,2015-03-26 03:14:25,"Saudi warplanes bomb Houthi positions in Yemen http://t.co/BDsx8q3uLZ

👌👌👌👌 why can't you do the same to Assad &amp; Netanyahu??"
580918038943252480,2015-03-26 02:23:48,"Guys follow &amp; support
@CreedofMuslim
@info_Iraqi
@1__ProOfKh

Jazak"
580906126671241216,2015-03-26 01:36:27,I am thinking about changing my @ to coconut witness ☺️
580767409759457280,2015-03-25 16:25:15,"O you who have believed, fear Allah as he should be feared and do not die except as Muslims"" [Qur'an 3:102]"
580765578262089728,2015-03-25 16:17:58,"A Muslim doesn't identify with any other identity than a Muslim, no such thing as American Muslim! Ur an a Muslim living in America! Khalas!"
