id,created_at,text
498585965947285505,2014-08-10 21:45:32,RT @RamiAlLolah: #BreakingNews Massive explosion rocked #Baghdad now.. #Iraq #ISIS
498583181948616704,2014-08-10 21:34:28,"RT @TheBigPharaoh: The Saudi King just granted Sisi the ""Abdel Aziz Bin Saud Medallion"", Saudi's highest state honor given to kings and pre…"
498583014012887041,2014-08-10 21:33:48,"RT @Fact: Avocados, raspberries, almonds, broccoli, spinach, salmon are among the healthiest foods on the planet! Be Healthy."
498529080355332096,2014-08-10 17:59:29,@Ayse_BetuL Since when do Muslims take the word of the disbelievers for granted? Especially when its about fellow Muslims with no proof?
498527931753586689,2014-08-10 17:54:55,"@Hamartolus 
Have you ever read the Quran? No.
Have you ever investigated the Quran? No.
Please sit back, grab some M&amp;Ms and read. Ty."
498524249884475392,2014-08-10 17:40:17,"Has anyone seen any solid proof, or any other evidence that State has buried 100s (including women and children alive)?

No?

Ok?

Next."
498511581232521216,2014-08-10 16:49:57,RT @InjusticeFacts: In 2009 Obama received the Nobel Peace Prize even as thousands of Iraqi children were dying as a result of the U.S. inv…
498460051842293760,2014-08-10 13:25:11,RT @InjusticeFacts: The richest 25 American's income is equal to that of almost 2 billion people.
498443917675999232,2014-08-10 12:21:05,"RT @ALQassamilitary: Palestinians trying to save Mahmoud al-Ghol from under the rubble of a house in Rafah, southern Gaza Strip http://t.co…"
498442141115617280,2014-08-10 12:14:01,"RT @al_7aleem: Poor Fatima Meghlaj. Killed in 2012 by Assad shell in Idlib. 
Then she was Christian girl beheaded by FSA, then Yezidi girl …"
498430573556543489,2014-08-10 11:28:03,"RT @markito0171: #Syria Rebels killed #SAA commander of 68th brigade in battle around base south of #Damascus 
http://t.co/cVbjCtvVIu http:…"
498429965650907136,2014-08-10 11:25:38,"@TWITVB @maiwandafghani Please do me a favor and bury yourself. All Im asking for is proof. Israel did it, Assad did it - any consequences?"
498427554379079680,2014-08-10 11:16:03,Mujahideen buried women and children alive? Proof maybe? What happened when Israel and Assad buried women and children under the rubble?
498424366720630784,2014-08-10 11:03:23,RT @turkintel: 3.5 yıldır SURİYEde tüm zorluklara rağmen insanlar açılıktan ölmedi. YEZİDİLERin 3 günde AÇLIKTAN öldüğü iddiası biraz garip…
498422161917607936,2014-08-10 10:54:38,"Main goal: Killing Muslims.
Random side goal: Dropping US Aid to Yazidis from 15,000ft without parachutes that exploded on impact. #EpicFail"
498420219095027712,2014-08-10 10:46:55,His hands soaked in Muslim blood— Crying crocodile tears pointing at those who have now taken of his blood. An eye for an eye.
