id,created_at,text
554425153053290496,2015-01-11 23:50:31,“@mutaz20042000: 😂😂 http://t.co/cLECo58Apy” 😂😂😂😂😂😂😂😂😂😂😂😂 dude this another level of hilarious
554399496839634944,2015-01-11 22:08:34,That awkward moment when you have terrorist leaders marching for peace! defeats the purpose #ParisMarch
554362231878877184,2015-01-11 19:40:30,We Muslims should be doing a march for the injustice against our beloved prophet #Muslimsmarch
554342029527117824,2015-01-11 18:20:13,Non-Muslims calling Islam a cancer! Please let me know when you beat cancer! #FranceUnityMarch
554335685445173248,2015-01-11 17:55:01,Kufar &amp; munafiq leaders come together over #CharlieHebdo to grieve nvm the Palestine massacre just so shows you no1 cares for Muslim blood!
554334201190031360,2015-01-11 17:49:07,Where is King Abdullah in this photo!! Wait he is on his dying bed! #CharlieHebdo http://t.co/2ohQXY9BVF
554321435842600960,2015-01-11 16:58:23,All these waste of creatures who are 24/7 insulting Islam &amp; our beloved prophet just shows you how sad &amp; pathetic they are! #EmbraceIslam
554306977556602880,2015-01-11 16:00:56,"Akhi: Ukhti I am a modern Muslim, what kind of Muslim are you? 

Me: I am what you call extremist Muslims

#AwkwardSilence"
554306301069885441,2015-01-11 15:58:15,"“@muhajir_1: What an awful line up...

Netanhayu, Hollande &amp; Cameron

Devils in suits” 

They were begging for Obama to come he refused 😂"
554306005526659072,2015-01-11 15:57:04,@birdofgreen @BelovedAiysha @Muhajir_Miski1 yeah that's because hoor will be your first wife 😂😂😂💃
554141572942798848,2015-01-11 05:03:41,We need to start a petition to ban dawahman from YouTube to save the youth from his non-islamic views!
554131224080703489,2015-01-11 04:22:33,"#Obama 
1) Christian 
2) terrorist 
3) All of the above"
554128487200870400,2015-01-11 04:11:41,Just curious is the Saudi regime going to condemn the #CharlieHebdo attack!!
554120912812122112,2015-01-11 03:41:35,“@DawahAk1: You ask for sabr when your Prophet gets insulted but you are enraged if your family gets insulted” priorities misplaced
554070270861135873,2015-01-11 00:20:21,"RT @uygaraktas: We are not Charly but we are Syrian Children, killed, tortured, detained and displaced silently #Syria http://t.co/cpVUU0WI…"
553999760466931713,2015-01-10 19:40:10,@Bint_Stranger Amin filthy kafirs
553951212706758657,2015-01-10 16:27:15,"You have  non-Muslims misusing the term ""Freedom of speech"" call it what it is ""attack on Islam' not freedom of speech! #CharieHebdo"
553944489363251200,2015-01-10 16:00:32,And he wonders why some Muslims hold him responsible for his governments terrorist acts against Muslims! #CharieHebdo http://t.co/JuIRBbwOMc
553937002098606080,2015-01-10 15:30:47,Non-Muslims demand condemnation for the #CharieHebdo from Muslims! Don't expect Muslims to be apologist when you endorse terrorist regimes!
553784689287520256,2015-01-10 05:25:33,Apparently Islam is backwards dark age philosophy according to western media! #Absurd
553782081265090560,2015-01-10 05:15:11,"Anonymous declares war over Charlie Hebdo attack http://t.co/h5DyojFpmr

This is funny 😂😂😂"
553781119506997249,2015-01-10 05:11:22,@CrusaderIntel same here :)
553780111695437824,2015-01-10 05:07:22,Why can't the western leaders condemned the depicting of prophet Muhammad sws by the #CharieHebdo publishers!!
553776309101666304,2015-01-10 04:52:15,"Two brothers arrested on terrorism charges in Canada |  http://t.co/BbqVK2NIaN

Basically they were arresting for attempting to leave canada"
553773121153810432,2015-01-10 04:39:35,@CrusaderIntel bs prove it! Islam only approves violence when it's self defense!
553766251710132224,2015-01-10 04:12:17,@CrusaderIntel this is in reference to war times/battlefields don't quote the Quran unless you know what it's for!
553742822361542659,2015-01-10 02:39:11,Why isn't the western media reporting on mosques attacks?? Way to alienate Muslims #mosquesUnderAttack
553738169464930306,2015-01-10 02:20:42,If the Western media covered terrorist attacks in Muslim lands (by western countries) like #CharlieHebdo thy will be live every second #bias
553734137233047553,2015-01-10 02:04:40,The #CharieHebdo publisher promises to print 1000s of the magazine that insulted prophet Muhammad sws to honor those killed! #Islamophobia
