id,created_at,text
498746343893270530,2014-08-11 08:22:49,@jameel_84 @AmreekiWitness @ShamiWitness if he wants to do a formal debate sure.
498746292257193984,2014-08-11 08:22:36,"@jameel_84 @AmreekiWitness @ShamiWitness bro, my article was reply to his OLDER article, not this one. i'm not gonna waste time again"
498746074740572160,2014-08-11 08:21:45,"@TracyMoon10 @La_G4ta @aroadwarrior1 They were once ""O Children of Israel, remember My favour upon you when I selected you above all others"""
498745504352985088,2014-08-11 08:19:29,"@TracyMoon10 @La_G4ta @aroadwarrior1 y default He loves every1, but Jews were rebellious so He punished them twice by destroying Jerusalem"
498745045491933185,2014-08-11 08:17:39,"@jameel_84 @AmreekiWitness @ShamiWitness let them post, i'm not gonna waste my time again. my offer for mubahala still stands"
498744836548460545,2014-08-11 08:16:49,"@TracyMoon10 @La_G4ta @aroadwarrior1 we worship the God of Abraham, Isaac and Jacob too. He said they all worshiped Him alone."
498744626250260480,2014-08-11 08:15:59,"@La_G4ta @TracyMoon10 @aroadwarrior1 Weird. He claims so, ""We sent Moses and in his footsteps Jesus son of Mary"""
498744059293622272,2014-08-11 08:13:44,"@TracyMoon10 @La_G4ta @aroadwarrior1 in islamic state tax % is around 2%, muslims pay a separate tax, non-muslims another one"
498743926522916865,2014-08-11 08:13:12,"@TracyMoon10 @La_G4ta @aroadwarrior1 yu guys are christians? then we worship the same God, Allah = 'Father'. No, if you pay the tax ur fine"
498743735728226304,2014-08-11 08:12:27,@SameehEmir Allah knows best
498743663569403904,2014-08-11 08:12:10,"@Himalaya888 @SBINS_ @KavkazIslamist lin islamic state tax on muslims is because they are muslims, jizya because some are non-muslims. fair"
498743348736585728,2014-08-11 08:10:55,"@La_G4ta @aroadwarrior1 you implied my comment earlier was BS. fine, whatever, i have no interest in discussion with someone who isn't open"
498743100823846912,2014-08-11 08:09:56,"RT @warXon: rafidha media 500 yezidies killed by Daesh and  then buried alive  #Logic 

:) http://t.co/pKrey5MbcJ"
498742963657515008,2014-08-11 08:09:23,@lyn52328492 inshallah
498742568067538944,2014-08-11 08:07:49,@La_G4ta @aroadwarrior1 don't call it BS then. Islam is far from evil.
498742388148695041,2014-08-11 08:07:06,@aroadwarrior1 @La_G4ta lol lol whatever. blocked
498741637372456960,2014-08-11 08:04:07,@570AD it's false.
498741584264171520,2014-08-11 08:03:54,"@La_G4ta @aroadwarrior1 or ""fight the disbelievers until only God is worshiped in the entire world""? all of this is in the Qu'ran"
498741333750996993,2014-08-11 08:02:54,"@La_G4ta @aroadwarrior1 So God did not say ""fight the polytheists wherever you find them""? or ""fight the disbelievers w/ harshness?"""
498740570312146944,2014-08-11 07:59:52,"@La_G4ta @aroadwarrior1 not that simple, it's something God commanded, we did not make it up"
498737763311947776,2014-08-11 07:48:43,"@Angelaroemelt @RosenfeldOren you need to study a bit then, islam is not black and white"
498737587419635712,2014-08-11 07:48:01,@aroadwarrior1 @La_G4ta why are you all playing God? as if He gave you the power to see who burns and who goes to Paradise.
498737269969534976,2014-08-11 07:46:45,#PRT - No comment? Anyone?
498737104198066176,2014-08-11 07:46:06,"@Himalaya888 @KavkazIslamist difference is that we pay it wherever we are, non-muslims just pay it if they live under us"
498736991694258176,2014-08-11 07:45:39,@Himalaya888 @KavkazIslamist we pay zakat
498736892004040704,2014-08-11 07:45:15,@AlWalaWalBara Jews. It's always a joke
498736615679074304,2014-08-11 07:44:09,"@Angelaroemelt @RosenfeldOren nah, we have no interest in destroying the world, just applying the law of God"
498736011300835328,2014-08-11 07:41:45,@KavkazIslamist yh ikr
498735767586627584,2014-08-11 07:40:47,"@KavkazIslamist ""you will face fierce battles"""
498735668093521920,2014-08-11 07:40:23,"@KavkazIslamist LOL. ""O my scribe, scribble down this letter to the head crusader, Pope of the cross-worshipers virtually through twitter"""
498735402610880513,2014-08-11 07:39:20,"@KavkazIslamist its just starting, trust me"
498735287858917377,2014-08-11 07:38:53,"@KavkazIslamist ""secretary""? :'D"
498735098788069376,2014-08-11 07:38:08,"Okay, so - betting is haram, but what do you think the next lie about #IS is? 

I bet it's gonna be ""al-Baghdadi dies in an airstrike"" #Iraq"
498734682205589504,2014-08-11 07:36:28,"@KavkazIslamist also, Khalifa on twitter? LOL, i feel US would track him down quite quickly"
498734571656327168,2014-08-11 07:36:02,"@KavkazIslamist Alhamdulillah, waiting for the rumor mill to start again, i wanna see what lies they cook today"
498734326352445440,2014-08-11 07:35:04,"@jmillerqld until we meet again, good day to you sir."
498733720015482881,2014-08-11 07:32:39,"RT @daqeqa: If #IS buried any Yazidi alive, they'd happily put out videos of them digging their graves first, the #IS does not care for you…"
498733572489236480,2014-08-11 07:32:04,@KavkazIslamist *drum roll*
498733290594246656,2014-08-11 07:30:57,@jmillerqld makes sense. you win this round
498732946854281216,2014-08-11 07:29:35,@AlWalaWalBara #Peshmerga #PeshPower #TwitterKurds http://t.co/pNpeJxfxaC
498732431726620672,2014-08-11 07:27:32,"RT @AlWalaWalBara: Madkhali Mahr

""Three PDF's"" http://t.co/t9RoxcVUuv"
498731461248565248,2014-08-11 07:23:41,@AmreekiWitness @jameel_84 @ShamiWitness he's the guy who basically made me spend 30 minutes writing a response to his lies a while ago
498729742255026176,2014-08-11 07:16:51,"@TheArabWitness @AmreekiWitness remember IS would confirm it ASAP and publish an eulogy, they celebrate shuhada"
498729626093772800,2014-08-11 07:16:23,"RT @TheArabWitness: So far the rumours regarding Adnani's death are rumours. No evidence yet. 
Keep in mind this is the 4th time he's been …"
498728685869228032,2014-08-11 07:12:39,"RT @RadioRome: A bright idea for all the world's Christians:

1. Refuse to pay any taxes or obey law

2. Claim persecution

3. Call for int…"
498728620568113152,2014-08-11 07:12:23,"@La_G4ta just a matter of spelling tbh, lol"
498726382344892416,2014-08-11 07:03:30,@jameel_84 @ShamiWitness this guy is held in high regard? cc @AmreekiWitness bro you remember the Bilal guy? check this out lol
498725917288837121,2014-08-11 07:01:39,"@MicDoh @IbnEnu @AmreekiWitness you're a wacko, no offence"
498725856895053824,2014-08-11 07:01:24,"@al_7aleem @TheMuslimIssue this was about Nusra, IS was in Syria in 2012 under Jabhat al-Nusra"
498725167170727936,2014-08-11 06:58:40,"@MicDoh @IbnEnu @AmreekiWitness say what. dude, go grab a few pills inshallah"
498722886275051520,2014-08-11 06:49:36,@ndfall are you Allah?
498722852192124928,2014-08-11 06:49:28,@ndfall how so?
498722230441082880,2014-08-11 06:47:00,"""Allah does not fail in His promise."" - 39:20"
498721087719735296,2014-08-11 06:42:27,@MicDoh @IbnEnu @AmreekiWitness lol this thread wth....untag me pls
498720955687243777,2014-08-11 06:41:56,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness no, i was referring to people who deny names of Allah."
498720804490985472,2014-08-11 06:41:20,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness jahiliyya that is sincere and the person did not know they were sinning, educate them"
498720714841939969,2014-08-11 06:40:58,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness i was referring to voting, voting on jahiliyya is not kufr, Allah does not punish +"
498720210246172672,2014-08-11 06:38:58,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness that's actually kufr, not irjaa."
498720110744698880,2014-08-11 06:38:34,"@islam4allXs @arisroussinos @AmreekiWitness lol i'm not, aris just has some fears due to propaganda i bet"
498719865910620160,2014-08-11 06:37:36,@AbuAbdurraahman @SemiticBerber @AmreekiWitness unless these conditions are fulfilled you cannot make takfir just like that. its not light
498719698872434688,2014-08-11 06:36:56,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness i mean unless they did it with full intention, knowing its haram &amp; they were educated +"
498719560288452608,2014-08-11 06:36:23,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness who? khawarij? making takfir on someone who votes? eh, it's ok but 70 excuses"
498719169823911936,2014-08-11 06:34:50,@SemiticBerber @AbuAbdurraahman @AmreekiWitness bring daleel or repent to Allah
498719121056739328,2014-08-11 06:34:38,"@SemiticBerber @AbuAbdurraahman @AmreekiWitness you cannot remove yourself, but bro, i'm upset with you, if you accuse a brother u must +"
498718307487592449,2014-08-11 06:31:24,@AbuAbdurraahman @SemiticBerber @AmreekiWitness name them akhi.
498718229872001024,2014-08-11 06:31:06,"@islam4allXs @arisroussinos @AmreekiWitness Aris is a muslim, no dhimmi statues here lol"
498717442806661120,2014-08-11 06:27:58,"@AbuAbdurraahman @SemiticBerber @AmreekiWitness name them inshallah, i shall make dua for them so that Allah accepts them"
498717127063646209,2014-08-11 06:26:43,@SemiticBerber @AmreekiWitness then inshallah repent to Allah for this false accusation
498716704659472385,2014-08-11 06:25:02,"@SemiticBerber @AmreekiWitness you aid some brothers in dawla make excuses for the mushrikeen, who?"
498715936313311232,2014-08-11 06:21:59,@SemiticBerber @AmreekiWitness by Allah the State does not allow any shirk in the land it holds
498715700308217857,2014-08-11 06:21:03,"@SemiticBerber @AmreekiWitness akh, you made an accusation, that some brothers allow the mushrikeen to commit shirk, who?"
498714673211265026,2014-08-11 06:16:58,@SemiticBerber @AmreekiWitness where have they excused even ONE grave worshiper who did not worship due to jahiliyya?
498714468994805760,2014-08-11 06:16:09,@EjmAlrai happens quite often
498714138294902784,2014-08-11 06:14:50,@SemiticBerber @AmreekiWitness which IS bros?
498714057617469440,2014-08-11 06:14:31,@SemiticBerber @AmreekiWitness have you not heard of what they say about the rafidha? or the sufis? how they destroyed shrines in Mosul?
498713800632446976,2014-08-11 06:13:30,@SemiticBerber @AmreekiWitness when it comes to mushrikeen IS is the first to make takfir. are you serious?
498712295489695745,2014-08-11 06:07:31,"@AmreekiWitness @SemiticBerber @TusiPolymath one side says IS makes takfir on everyone, another one says they don't make enough takfir lol"
498712122956984320,2014-08-11 06:06:50,@AmreekiWitness @SemiticBerber @TusiPolymath LOL what BS did i just read. IS does not make takfir on grave-worshipers? i'm laughing ;D
498711316174217216,2014-08-11 06:03:38,@Seeking4Good243 @loansbyjim guys untag
498709875749568512,2014-08-11 05:57:54,@Alansarialjanab what it says akhi?
498709573373808641,2014-08-11 05:56:42,@jmillerqld seriously? another goat?
